id,file_name,file_path,ocr_text,line_count,char_count,has_error,error_message
20260210_142908,20260210_142908.heic,/home/mahmut/Desktop/foodlens/ocrlama/fotolar/20260210_142908.heic,"All th
ox ge ii ae
im. B Enerji ve Besin Öğeleri/ 100 g için
Y ğ Nutritional Information/ per 100g
hile gas pl | $100.4
Enerji/Energy ke! » 1501 kj 2 S/353 kcal wis
Yağ/Fak/ iks 0g.
-Doymus of which saturates/ iş yl: 0g. $
Karb” sat/Carbohydrates/Cilyasıl | 84g 6
Sexe der/of which sugars/ Suk 53q iS
Protein/ Cuts Ni. 44 f
Tuz/Salt/ Sab, 0,08 gS
(ahudugil”tilelğiğihanas, irani —_ kola), çeşidine göre meyve
ve bitki konsagereleri (aspir, spirulina, elma, mürver, portakal, frenk
üzümü, kivi; limon, aroniya, mango, çarkıfelek, Lee üzüm,
karamelize şeker şurubu (şeker, su), mürver ekst aktı, aye
parlatıcı (san ve a balmumu). Ürünlerimizin ibi
atkıları yoktur. İz miktarda . gday i
#
Pidedientssclcse syrup (corn);
D midi, regulator (citric acid), flavourin
(safflower, spirulina, apple, eldert a |
i, lemon, aronia, mange maract la,
nn (sugar, water), eldegaerprextre
agent (beeswax). This oroductile® moet bate
br any other pork based vii Nay gi ağ
/ of milk and wheat.
RIBO STARMIX - Qarisiq mayye Ve
tone. Tri Olükoza siropu (qargidaligaaie
aromatizaton ey turşulug tanzimloy(Ceae te
noviina göra my 19 çiyalak, anafes, limoni
gandalas, po H bitki konsentratları (saflor
Mar, gadırmızı qaragat, Kivi, tN
gora gum izüm), karameliza edilmiş gene si
Mohs iabaxan yağı, Sil olayici (sarı va
mia Ber cesidinda donuz yağı ve aiavalat
*V bugda ehtiva eda biler.",37,1360,0,
20260210_142953,20260210_142953.heic,/home/mahmut/Desktop/foodlens/ocrlama/fotolar/20260210_142953.heic,"lü Ci 0 medal e. dl 5 a
B Sütü Çikolata ( off) Kaplamalı GOİTEİ, ICINGEK''e’. (Enerji ve Besin Ogelen Apal
Beker, tam yağlı süttozu, Kakao kitlesi, kakao yağı, buğday | Nutrition Information << Be
Manu, bitkisel yağlar (palm, tam hidrojenize palm), fındık |. e cem “
# püresi, nişasta, emulgatorier (amonyum fosfatitler ai teat fale i
poligliseroi polirisinoleat, soya lesitini), yağı azaltılmış | po imie Va (of whigh Saturates
kakao tozu, tuz, aroma vericiler, yumurta akı tozu, Eser Karbonhidrat | Carbakidiete (a)
miktarda yertıstığı ve sert kabuklu meyveler içerebilir. |. Sekerler/of which Sugars (a)
Milk Chocolate (77%) Coated Wafer, Ingredients: |) j¢ / Fipre ig ,
Sugar, whole milk powder, cocod mass, cocoa butter, | Protein ig)
wheat flour, vegetable ite Mie been Tuz/ Salt (g
te, starcn, emuls! lelS | ei. sübatim hirimi “maketi |
Mi DÖgiycro polyricinoleate, soy lecithin), Br tüketim bir ¢ rake eae
fat reduced cocoa powder, Salt, flavourings, e909 white
powder. May contain traces of peanuts and nuts.
gana,",16,1023,0,
20260210_143005,20260210_143005.heic,/home/mahmut/Desktop/foodlens/ocrlama/fotolar/20260210_143005.heic,"daquy unyng
sanijenuap yd Aue ulejuod you 5300 yes (ny
mubel eG jigdiy iye Key Znwog a i “mSimjgain ap Ani ie
© ‘J, ZE OL E daş “00
5 WI Yee LLDION Ö SIBÖNŞ Yolum JO/ 1844 = :
20 9 ig 6) sjesphyoquery yeypyuoquey} O DUE Apu apt | mi
Lt SO}INJES YOLUMA J0/ iri ap, Jo 4481
lf 14/9
| | lec | Vek ey) « ABuau3 / thau3
poy ad} (6 62) uomod sd eUuOfU] WOE
ut = J fe udı uofısıod , alata sepa ay
5 20909 ‘(ploy omg) soVeINfey Aiploy “(pay 1004809) 1n0j09 “Yes ‘sbuunonely “uya NO -ON 101 DUE 310/99 1539
6 2S09NJE NM sü eng] (0) Apued MEd Sa pay bien UMUMİ SAN ON Wied an Seat ESEN GERİ aÂİSAZ |
len pa1n010n JaDMOd AAUM ULIXAPO}EYY LPM HINA) PALILULYS (HaMOyUNS (8418 Weg Wi bi |
nig HAM ADL ENS sapa Apuea Gulddog pue (G2) Duy paunonely age yum ata Mudgee aya, or he pa
+ (us MUNG nialUaZi ys ‘(ISIZILIY NYO 12OUed) !OLIPUa}YUdY ZN] “49/99 PWOY ‘(1unise7 Boş) J9)e6\nu3 lusyolpuocuey VS ME mene i UNS
e) SIZILLI Y OY J29U2d 'UlLunyanyı) 40jlou1ıpua Muay ‘(Higa Wed) 10ZINN2S ‘(iGapuiyed) Wed) OCA SONLA Jayas] (ir 196 e ayr me zi ie LANG = sr
PA 97 alospily We) ‘Wied) 410/024 jasıyılg ‘ISal}!y OEYEYİ ‘Ge, OBYeY NZONNS 1102, We) “laya$ Uajnjepuld} Byejonid MINS axes UAKeNeY (S2%) DIADIOg YELDA Yeki
Wicd Wita efiuclyV
£0/VGLV~
(Tt FECE Fa
diy (4) Oy FIN | i
naniowAa nnnec immul1",23,1277,0,
20260210_143010,20260210_143010.heic,/home/mahmut/Desktop/foodlens/ocrlama/fotolar/20260210_143010.heic,"i
woo jeqoiisipeyd' MAM -opauan aod Aue wre
yy WON AOYIN Mam —_-AVIAWIS HAWNSNOY rayame er e a
- 199 4 29S 262 06% — ‘|Z3NUIW WISHES! [WALSH oe =.
vObGOO NPE HL ON WARY 011013) | i peer
e «lf BAIMINL/INAUEIS|/EDNSH) [ON] PED Yes YAYAN 097070.9(
i » HIN *OVeIadE SSOUISNG POO, / 1199111045) ep19 2018 05239 8 A
“ Auedwiod sipojd e
ae want P :
nululu %OE :spyos 2090) “(Poy SUID) rojginfiay Aypioy ‘(pay 100n8ag) 1n0j09 “yes ‘sGuunonels “(uiYji0e oç) — 7
:0N 107 pue as0j9g 1594
“syn Due Göz ‘uaynjg JO Sade) VieWUOI AN
ı9yyısınuuz Topo vogue) {POW EW) oyeinday Apioy 'drUAŞ QSOON| ‘(HINA)) 880}
WINS) LOSHIALIS (aWis} U aigeyadan “reönsi (%p' |) SapueD PaNojo) JepMod kay 'UUPApONEN *
Aung Wied) 123 e1qeIe09/ 2000"") ‘aN 20901) ‘JAPNOg YILIN BONN seONS -squaipai6u) ‘Apue) Guyddog pue (0452) Gury pasnonel Auaqmeng yım 42409014) YILIM ÇE) “11108480, 1apamayy npingey
“yang 20.29 1253 ""INP, 069 Ze Ud 1sappeuu TUN OBEN LUSH YU) roikajuang IS *(İSZIuLY MYO /29U2d) foUlpUapIUaY ZN]. JaOUA el DAY “uysa ekog) s0je6jnww3 ‘[usyoipuoquey ‘(usy Meya) oiAaquazng YINISY ‘ngnns
Ovni’) (VAs) Z0yye7 yağ) (20%) 12x23 very ‘[(ualuayouey tsızLI yoy Tedd 'Uumynyı) sajurpuapuay “Qugesy weg) sozIIqeIS ‘(Gapsnya) whed) ÖZA (8SDH saya] (p' 194) salauiauayas inuay zo) nAng Qyeatukad
“ULA SYADOYEN NZOWNS ZISHA “(HAdAy “Wapuyay wed Wled az1Ual0upık WE) Wied) JeIORA jasoUG SARIM OBEY ""HEA OENEN NZONNS ie, we) ‘saya -yapuls “eyeloylğ ns IHayas uekehed (29) nınbyog yewouy 42)! E09
ven ‘ebing] (%4)'0) pupa Guiddog ‘[(sauayoue9 ‘pay oosjaag “ulusnain9) sinoj09 gey
raping MIM DaWWWIYS ‘(laMOYUNG ‘away Whed ‘Wled PAVEUADOPAH :ON ued @A Ie) WinaYM yalpa SAZI |
wag 2A eynuin,
nde ği 7
mS nANs PNAS a aquy ungng",23,1690,0,
20260210_143015,20260210_143015.heic,/home/mahmut/Desktop/foodlens/ocrlama/fotolar/20260210_143015.heic,"ZINIDV
Nvavang.
“regoyösıpeyd “SONyeALap lod Aue UreyU09 jou sa0q
DUYU yil oi AV GUY / UYMA ANAYA AAU AY GE
i sim) bunlann DOgg:}aN
wily
pwr ayaa (TOMAS BANSNOS “73111991 UASalid AIdIY YELKEN ZNO a
198 4 106 212 06* AZINMAM WISLT! RLSM e i reli 2S PAPUA, gyzozmconuSağ
vObGOD VEL :0N Whey a9) vOZ6900b :00X ZW SWI eusenon | 6G i sieding Yoiym J0/ nae “J. 22: Gi 2 daay nopo
ayın /INQUEIS|EPNASN |:ON ""PED Ye UZUN IMIS!) 20S¢8 6 ayeypkyoquesy 1JPIYLOGJE, pue Aypiwiny wos Keme 21015 / ZiuiAe;yes
- sayın ~oyerailp ssaussng pod / staauu}a)§] 2919 ; saqemmyes yorum yoy BeA sai : ap, 9. 22:81 'eplezn uapwau aA vepnyoy
}ej/ 2A
Aueduio> sippjd e ii N) te e
wast 77 {0 G2) U
os 1910001, ihe u va sayar
; 59021 Upyu00 Aeyy “ununun 9,06 :Spyos 2000) “(pov oumo) oueyöay Alpoy “(pay yocusag) Jn009 yes “söuunoney “(uyan Ae -
ER png 7 poy  nöay iy ‘dung 2090p) (yyy) 280}027 ‘e0 Ns] (04/'0) Apued Hurddog '(sauaqoued ‘pay 1004808 unun) sito EN oa HUE olma asa
vung) 42SINGENS (fausay wea) 14 etaba 226s} (7 4) SalpueD pan0j00 49pMOg fay ‘uuixapoyreyy u@pMOd YW PaUWUDS“(HaMoyUNG jausay we ‘wed payeUaGoupAY “ON Med 2A (ye) WIaXN UalIPS ASAR
fying ‘Whed) S4 aygey2bap ‘Sse 2090) “ayng BO90) “sapMod MLN ZION ‘p6ing ‘sualpalGu) ‘Apued Guiddog pue (9462) Bury paunonely AUaqmens Yum ajelovouD YHA CE) ""gated, zajankayy npyngey Yas 2A CUNLINA
“ug 1953 np), 72 ua 1SApDELU Tun oByey “(1s MUS) 1016ajuazna YUNSY eee 189124) ri a eee İmer Ee lsd ue hey os
uenened ‘[(iajuanosey “SIZIWN) MYO) JedUed UNUN), ıallouupua Muay (Iqely Wes) LOZIIGeIS (Lapa Wied) DBA lesbAg pi : apayas |
rie a LR) ae Ge, we, “2yağ uelnapurd) “eyeJoyğ ms Hayes elledi “(g204) ninjog yewary yard)
2pJEYYILU
OY) 4; Z0YET 4 1
e eon, “Dapunygf Wed ‘Wed aZiuafosply WEL “Wed) see, les Sahin OZMEN ‘ie, oeyey ‘NZOWNS
4
Te mans NAMI",27,1785,0,
20260211_141024,20260211_141024.heic,/home/mahmut/Desktop/foodlens/ocrlama/fotolar/20260211_141024.heic,"gile
eine
TRANS YAĞ
İÇERMEZ
vO",5,30,0,
20260211_141026,20260211_141026.heic,/home/mahmut/Desktop/foodlens/ocrlama/fotolar/20260211_141026.heic,"x wv.
Bi
a)
Pp (Ea |
e
Vİ",6,25,0,
20260211_151548,20260211_151548.heic,/home/mahmut/Desktop/foodlens/ocrlama/fotolar/20260211_151548.heic,"- i a <a oan
= ©
BS ig ‘ >
i vü :
) ij 1
ie ğ
( AA >
4, ae p
e, aa 5
IR - VİŞNE İCECEĞİ Meyve Oranı enaz Wa
içindekiler. Su, şeker (pancar çeke
kullanmıştır.) ime suy onan _—
renklendirle (siyah havuç suyu konsantresi,
asitik düzenleyici (Sitrik asit), aroma veridi
ine), Pastörize edilerek, steril Koşullarda!
doldurulmuştur. Soğuk içiniz. loned
önce çalkalayınız. Serin, kuru ve güneş is
almayan ortamlarda depolanmalı
Açıldıktan sonra buzdolabi
ALAN
” öle opening and consume within 2 days,
ey roduct
/ b ha Uy and consume the pr
/ ‘Kages are damaged, swolled
___ and/or leaked. Best before: see on top of
© Packaging, ee oo",26,627,0,
20260211_151607,20260211_151607.heic,/home/mahmut/Desktop/foodlens/ocrlama/fotolar/20260211_151607.heic,"K-KARIŞİK MEYVE NEKTARI Meyve Orang en
aaa Mey Vive suyel yo oH ve pure q
kon ihitrelerinden üretilmiştir. | içimdeki a
sekel (Danca sekeri Kula) pin
kor SALES portakal Suyu konsant
pure konsantresi, | üzüm suyu kon Se
düzenleyici ip itrik dst), d0da
: antioxidant |
| ied ul ndet}",9,281,0,
20260211_151622,20260211_151622.heic,/home/mahmut/Desktop/foodlens/ocrlama/fotolar/20260211_151622.heic,"* veya eni şunu
üzüm suyu konsantreh ini
Uzenleyici sitrik sit
, Karanfil, incir, _ disk
n şe er veya Gula
Anmıştır.
2 Bursa (BRS) TR-1€ si
K-006 6165",8,150,0,
